                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:mulq    |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:stq     |  12:mulq    |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:ldq     |  16:stq     |  12:mulq    |   8:lda     |   4:lda     r5=0  BUS_LOAD  MEM[16] accepted 1
    5:   24:stq     |  20:ldq     |  16:stq     |  12:mulq    |   8:lda     r1=4096  BUS_LOAD  MEM[16] accepted 1
    6:    0:-       |  24:stq     |  20:ldq     |  16:stq     |  12:mulq    r2=0  BUS_STORE MEM[4096] = 0 accepted 1
    7:    0:-       |  24:stq     |   0:-       |  20:ldq     |  16:stq     BUS_LOAD  MEM[4096] accepted 1
    8:   28:addq    |   0:-       |  24:stq     |   0:-       |  20:ldq     r3=0  BUS_LOAD  MEM[24] accepted 1
    9:    0:-       |  28:addq    |   0:-       |  24:stq     |   0:-       BUS_STORE MEM[4352] = 0 accepted 1
   10:   32:addq    |   0:-       |  28:addq    |   0:-       |  24:stq     BUS_LOAD  MEM[24] accepted 1
   11:   36:cmple   |  32:addq    |   0:-       |  28:addq    |   0:-       BUS_LOAD  MEM[32] accepted 1
   12:   40:bne     |  36:cmple   |  32:addq    |   0:-       |  28:addq    r1=4104  BUS_LOAD  MEM[32] accepted 1
   13:   44:halt    |  40:bne     |  36:cmple   |  32:addq    |   0:-       BUS_LOAD  MEM[40] accepted 1
   14:   48:call_pal|  44:halt    |  40:bne     |  36:cmple   |  32:addq    r5=1  BUS_LOAD  MEM[40] accepted 1
   15:   52:call_pal|  48:call_pal|  44:halt    |  40:bne     |  36:cmple   r4=1  BUS_LOAD  MEM[48] accepted 1
   16:   12:mulq    |   0:-       |   0:-       |   0:-       |  40:bne     BUS_LOAD  MEM[8] accepted 1
   17:   16:stq     |  12:mulq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
   18:   20:ldq     |  16:stq     |  12:mulq    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   19:   24:stq     |  20:ldq     |  16:stq     |  12:mulq    |   0:-       BUS_LOAD  MEM[16] accepted 1
   20:    0:-       |  24:stq     |  20:ldq     |  16:stq     |  12:mulq    r2=10  BUS_STORE MEM[4104] = 10 accepted 1
   21:    0:-       |  24:stq     |   0:-       |  20:ldq     |  16:stq     BUS_LOAD  MEM[4104] accepted 1
   22:   28:addq    |   0:-       |  24:stq     |   0:-       |  20:ldq     r3=10  BUS_LOAD  MEM[24] accepted 1
   23:    0:-       |  28:addq    |   0:-       |  24:stq     |   0:-       BUS_STORE MEM[4360] = 10 accepted 1
   24:   32:addq    |   0:-       |  28:addq    |   0:-       |  24:stq     BUS_LOAD  MEM[24] accepted 1
   25:   36:cmple   |  32:addq    |   0:-       |  28:addq    |   0:-       BUS_LOAD  MEM[32] accepted 1
   26:   40:bne     |  36:cmple   |  32:addq    |   0:-       |  28:addq    r1=4112  BUS_LOAD  MEM[32] accepted 1
   27:   44:halt    |  40:bne     |  36:cmple   |  32:addq    |   0:-       BUS_LOAD  MEM[40] accepted 1
   28:   48:call_pal|  44:halt    |  40:bne     |  36:cmple   |  32:addq    r5=2  BUS_LOAD  MEM[40] accepted 1
   29:   52:call_pal|  48:call_pal|  44:halt    |  40:bne     |  36:cmple   r4=1  BUS_LOAD  MEM[48] accepted 1
   30:   12:mulq    |   0:-       |   0:-       |   0:-       |  40:bne     BUS_LOAD  MEM[8] accepted 1
