                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:bsr     |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:lda     |  12:bsr     |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:stq     |  16:lda     |  12:bsr     |   8:lda     |   4:lda     r30=4096  BUS_LOAD  MEM[16] accepted 1
    5:   24:halt    |  20:stq     |  16:lda     |  12:bsr     |   8:lda     r16=14  BUS_LOAD  MEM[16] accepted 1
    6:   28:beq     |   0:-       |   0:-       |   0:-       |  12:bsr     r26=12  BUS_LOAD  MEM[24] accepted 1
    7:   32:cmpeq   |  28:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[24] accepted 1
    8:   36:bne     |  32:cmpeq   |  28:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
    9:   40:subq    |  36:bne     |  32:cmpeq   |  28:beq     |   0:-       BUS_LOAD  MEM[32] accepted 1
   10:   44:stq     |  40:subq    |  36:bne     |  32:cmpeq   |  28:beq     BUS_LOAD  MEM[40] accepted 1
   11:   48:stq     |  44:stq     |  40:subq    |  36:bne     |  32:cmpeq   r1=0  BUS_LOAD  MEM[40] accepted 1
   12:   52:subq    |  48:stq     |  44:stq     |  40:subq    |  36:bne     BUS_LOAD  MEM[48] accepted 1
   13:    0:-       |  52:subq    |  48:stq     |  44:stq     |  40:subq    r30=4064  BUS_STORE MEM[4088] = 12 accepted 1
   14:    0:-       |   0:-       |  52:subq    |  48:stq     |  44:stq     BUS_STORE MEM[4064] = 14 accepted 1
   15:   56:bsr     |   0:-       |   0:-       |  52:subq    |  48:stq     BUS_LOAD  MEM[48] accepted 1
   16:   60:stq     |  56:bsr     |   0:-       |   0:-       |  52:subq    r16=13  BUS_LOAD  MEM[56] accepted 1
   17:   64:ldq     |  60:stq     |  56:bsr     |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
   18:   68:subq    |  64:ldq     |  60:stq     |  56:bsr     |   0:-       BUS_LOAD  MEM[64] accepted 1
   19:   28:beq     |   0:-       |   0:-       |   0:-       |  56:bsr     r26=56  BUS_LOAD  MEM[24] accepted 1
   20:   32:cmpeq   |  28:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[24] accepted 1
   21:   36:bne     |  32:cmpeq   |  28:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   22:   40:subq    |  36:bne     |  32:cmpeq   |  28:beq     |   0:-       BUS_LOAD  MEM[32] accepted 1
   23:   44:stq     |  40:subq    |  36:bne     |  32:cmpeq   |  28:beq     BUS_LOAD  MEM[40] accepted 1
   24:   48:stq     |  44:stq     |  40:subq    |  36:bne     |  32:cmpeq   r1=0  BUS_LOAD  MEM[40] accepted 1
   25:   52:subq    |  48:stq     |  44:stq     |  40:subq    |  36:bne     BUS_LOAD  MEM[48] accepted 1
   26:    0:-       |  52:subq    |  48:stq     |  44:stq     |  40:subq    r30=4032  BUS_STORE MEM[4056] = 56 accepted 1
   27:    0:-       |   0:-       |  52:subq    |  48:stq     |  44:stq     BUS_STORE MEM[4032] = 13 accepted 1
   28:   56:bsr     |   0:-       |   0:-       |  52:subq    |  48:stq     BUS_LOAD  MEM[48] accepted 1
   29:   60:stq     |  56:bsr     |   0:-       |   0:-       |  52:subq    r16=12  BUS_LOAD  MEM[56] accepted 1
   30:   64:ldq     |  60:stq     |  56:bsr     |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
