                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:br      |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:br      |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:br      |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:br      |   4:-       
   10:  140:-       |   8:-       |   8:-       |   8:-       |   4:br      
   11:  140:-       | 140:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[136] accepted 1
   12:  140:-       | 140:-       | 140:-       |   8:-       |   8:-       
   13:  140:-       | 140:-       | 140:-       | 140:-       |   8:-       
   14:  140:-       | 140:-       | 140:-       | 140:-       | 140:-       
   15:  140:-       | 140:-       | 140:-       | 140:-       | 140:-       
   16:  140:lda     | 140:-       | 140:-       | 140:-       | 140:-       
   17:  144:-       | 140:lda     | 140:-       | 140:-       | 140:-       
   18:  144:-       | 144:-       | 140:lda     | 140:-       | 140:-       
   19:  144:-       | 144:-       | 144:-       | 140:lda     | 140:-       
   20:  144:-       | 144:-       | 144:-       | 144:-       | 140:lda     r0=8  
   21:  144:bis     | 144:-       | 144:-       | 144:-       | 144:-       
   22:  148:-       | 144:bis     | 144:-       | 144:-       | 144:-       
   23:  148:-       | 148:-       | 144:bis     | 144:-       | 144:-       BUS_LOAD  MEM[144] accepted 1
   24:  148:-       | 148:-       | 148:-       | 144:bis     | 144:-       
   25:  148:-       | 148:-       | 148:-       | 148:-       | 144:bis     r5=0  
   26:  148:-       | 148:-       | 148:-       | 148:-       | 148:-       
   27:  148:-       | 148:-       | 148:-       | 148:-       | 148:-       
   28:  148:bis     | 148:-       | 148:-       | 148:-       | 148:-       
   29:  152:-       | 148:bis     | 148:-       | 148:-       | 148:-       
   30:  152:-       | 152:-       | 148:bis     | 148:-       | 148:-       
   31:  152:-       | 152:-       | 152:-       | 148:bis     | 148:-       
   32:  152:-       | 152:-       | 152:-       | 152:-       | 148:bis     r6=0  
   33:  152:subq    | 152:-       | 152:-       | 152:-       | 152:-       
   34:  156:-       | 152:subq    | 152:-       | 152:-       | 152:-       
   35:  156:-       | 156:-       | 152:subq    | 152:-       | 152:-       BUS_LOAD  MEM[152] accepted 1
   36:  156:-       | 156:-       | 156:-       | 152:subq    | 152:-       
   37:  156:-       | 156:-       | 156:-       | 156:-       | 152:subq    r7=0  
   38:  156:-       | 156:-       | 156:-       | 156:-       | 156:-       
   39:  156:-       | 156:-       | 156:-       | 156:-       | 156:-       
   40:  156:addq    | 156:-       | 156:-       | 156:-       | 156:-       
   41:  160:-       | 156:addq    | 156:-       | 156:-       | 156:-       
   42:  160:-       | 160:-       | 156:addq    | 156:-       | 156:-       
   43:  160:-       | 160:-       | 160:-       | 156:addq    | 156:-       
   44:  160:-       | 160:-       | 160:-       | 160:-       | 156:addq    r7=16  
   45:  160:bis     | 160:-       | 160:-       | 160:-       | 160:-       
   46:  164:-       | 160:bis     | 160:-       | 160:-       | 160:-       
   47:  164:-       | 164:-       | 160:bis     | 160:-       | 160:-       BUS_LOAD  MEM[160] accepted 1
   48:  164:-       | 164:-       | 164:-       | 160:bis     | 160:-       
   49:  164:-       | 164:-       | 164:-       | 164:-       | 160:bis     r1=8  
   50:  164:-       | 164:-       | 164:-       | 164:-       | 164:-       
   51:  164:-       | 164:-       | 164:-       | 164:-       | 164:-       
   52:  164:ldq     | 164:-       | 164:-       | 164:-       | 164:-       
   53:  168:-       | 164:ldq     | 164:-       | 164:-       | 164:-       
   54:  168:-       | 168:-       | 164:ldq     | 164:-       | 164:-       
   55:  168:-       | 168:-       | 168:-       | 164:ldq     | 164:-       BUS_LOAD  MEM[8] accepted 1
   56:  168:-       | 168:-       | 168:-       | 164:ldq     | 164:-       
   57:  168:-       | 168:-       | 168:-       | 164:ldq     | 164:-       
   58:  168:-       | 168:-       | 168:-       | 164:ldq     | 164:-       
